"Label (Grouping)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races"
"Alameda County, California","","","","","","","",""
"    Estimate","371,019","520,447","171,168","5,210","496,006","13,277","5,407","74,220"
"    Margin of Error","*****","±487","±1,541","±310","±2,088","±397","±852","±2,515"
"    Percent","22.4%","31.4%","10.3%","0.3%","29.9%","0.8%","0.3%","4.5%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Alpine County, California","","","","","","","",""
"    Estimate","130","551","9","314","10","0","0","25"
"    Margin of Error","±67","±118","±22","±47","±16","±12","±12","±19"
"    Percent","12.5%","53.0%","0.9%","30.2%","1.0%","0.0%","0.0%","2.4%"
"    Percent Margin of Error","±5.2","±5.8","±2.1","±5.0","±1.6","±3.3","±3.3","±1.8"
"Amador County, California","","","","","","","",""
"    Estimate","5,340","30,035","848","249","477","52","10","1,418"
"    Margin of Error","*****","±34","±107","±86","±135","±46","±13","±226"
"    Percent","13.9%","78.2%","2.2%","0.6%","1.2%","0.1%","0.0%","3.7%"
"    Percent Margin of Error","*****","±0.1","±0.3","±0.2","±0.4","±0.1","±0.1","±0.6"
"Butte County, California","","","","","","","",""
"    Estimate","36,916","162,537","3,342","1,699","10,057","476","321","10,469"
"    Margin of Error","*****","±240","±347","±292","±573","±151","±191","±813"
"    Percent","16.3%","72.0%","1.5%","0.8%","4.5%","0.2%","0.1%","4.6%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.3","±0.1","±0.1","±0.4"
"Calaveras County, California","","","","","","","",""
"    Estimate","5,489","36,837","315","184","684","19","55","1,931"
"    Margin of Error","*****","±99","±157","±113","±146","±21","±64","±260"
"    Percent","12.1%","80.9%","0.7%","0.4%","1.5%","0.0%","0.1%","4.2%"
"    Percent Margin of Error","*****","±0.2","±0.3","±0.2","±0.3","±0.1","±0.1","±0.6"
"Colusa County, California","","","","","","","",""
"    Estimate","12,738","7,576","256","143","273","38","36","394"
"    Margin of Error","*****","±23","±45","±67","±79","±30","±45","±112"
"    Percent","59.4%","35.3%","1.2%","0.7%","1.3%","0.2%","0.2%","1.8%"
"    Percent Margin of Error","*****","±0.2","±0.2","±0.3","±0.4","±0.1","±0.2","±0.5"
"Contra Costa County, California","","","","","","","",""
"    Estimate","292,298","500,592","95,892","2,278","188,237","5,297","3,657","54,000"
"    Margin of Error","*****","±537","±1,240","±322","±1,851","±369","±700","±2,120"
"    Percent","25.6%","43.8%","8.4%","0.2%","16.5%","0.5%","0.3%","4.7%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"Del Norte County, California","","","","","","","",""
"    Estimate","5,429","17,028","899","1,943","862","44","176","1,114"
"    Margin of Error","*****","±197","±132","±248","±148","±34","±192","±331"
"    Percent","19.7%","61.9%","3.3%","7.1%","3.1%","0.2%","0.6%","4.1%"
"    Percent Margin of Error","*****","±0.7","±0.5","±0.9","±0.5","±0.1","±0.7","±1.2"
"El Dorado County, California","","","","","","","",""
"    Estimate","24,199","146,747","1,426","1,031","8,487","472","295","5,906"
"    Margin of Error","*****","±230","±162","±307","±452","±105","±238","±573"
"    Percent","12.8%","77.8%","0.8%","0.5%","4.5%","0.3%","0.2%","3.1%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.3"
"Fresno County, California","","","","","","","",""
"    Estimate","522,364","289,650","44,209","4,651","99,480","1,207","1,732","21,228"
"    Margin of Error","*****","±412","±1,047","±567","±1,025","±204","±641","±1,636"
"    Percent","53.1%","29.4%","4.5%","0.5%","10.1%","0.1%","0.2%","2.2%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Glenn County, California","","","","","","","",""
"    Estimate","11,680","14,398","193","391","825","11","0","478"
"    Margin of Error","*****","±4","±109","±96","±249","±13","±23","±187"
"    Percent","41.8%","51.5%","0.7%","1.4%","2.9%","0.0%","0.0%","1.7%"
"    Percent Margin of Error","*****","±0.1","±0.4","±0.3","±0.9","±0.1","±0.1","±0.7"
"Humboldt County, California","","","","","","","",""
"    Estimate","15,722","101,078","1,336","6,264","4,073","432","177","6,858"
"    Margin of Error","*****","±161","±177","±569","±320","±121","±141","±675"
"    Percent","11.6%","74.4%","1.0%","4.6%","3.0%","0.3%","0.1%","5.0%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.4","±0.2","±0.1","±0.1","±0.5"
"Imperial County, California","","","","","","","",""
"    Estimate","152,172","19,228","3,882","1,104","2,367","240","114","1,594"
"    Margin of Error","*****","±93","±302","±155","±187","±159","±93","±364"
"    Percent","84.2%","10.6%","2.1%","0.6%","1.3%","0.1%","0.1%","0.9%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2"
"Inyo County, California","","","","","","","",""
"    Estimate","4,020","11,173","141","1,828","325","34","35","421"
"    Margin of Error","*****","±33","±39","±83","±80","±4","±33","±114"
"    Percent","22.4%","62.2%","0.8%","10.2%","1.8%","0.2%","0.2%","2.3%"
"    Percent Margin of Error","*****","±0.2","±0.2","±0.5","±0.4","±0.1","±0.2","±0.6"
"Kern County, California","","","","","","","",""
"    Estimate","473,374","303,225","45,761","4,303","40,730","1,115","873","18,260"
"    Margin of Error","*****","±285","±805","±527","±998","±164","±332","±1,336"
"    Percent","53.3%","34.2%","5.2%","0.5%","4.6%","0.1%","0.1%","2.1%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Kings County, California","","","","","","","",""
"    Estimate","82,116","48,537","8,779","1,282","5,565","241","239","3,932"
"    Margin of Error","*****","±179","±482","±111","±391","±97","±180","±621"
"    Percent","54.5%","32.2%","5.8%","0.9%","3.7%","0.2%","0.2%","2.6%"
"    Percent Margin of Error","*****","±0.1","±0.3","±0.1","±0.3","±0.1","±0.1","±0.4"
"Lake County, California","","","","","","","",""
"    Estimate","13,224","45,258","1,331","1,926","684","42","111","1,619"
"    Margin of Error","*****","±12","±163","±218","±196","±40","±146","±371"
"    Percent","20.6%","70.5%","2.1%","3.0%","1.1%","0.1%","0.2%","2.5%"
"    Percent Margin of Error","*****","±0.1","±0.3","±0.3","±0.3","±0.1","±0.2","±0.6"
"Lassen County, California","","","","","","","",""
"    Estimate","5,844","20,164","2,612","844","427","247","45","635"
"    Margin of Error","*****","±24","±96","±89","±71","±50","±41","±128"
"    Percent","19.0%","65.4%","8.5%","2.7%","1.4%","0.8%","0.1%","2.1%"
"    Percent Margin of Error","*****","±0.1","±0.3","±0.3","±0.2","±0.2","±0.1","±0.4"
"Los Angeles County, California","","","","","","","",""
"    Estimate","4,888,434","2,641,770","790,252","20,831","1,454,769","24,597","32,413","228,504"
"    Margin of Error","*****","±1,343","±2,958","±1,021","±3,676","±752","±2,235","±5,193"
"    Percent","48.5%","26.2%","7.8%","0.2%","14.4%","0.2%","0.3%","2.3%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"Madera County, California","","","","","","","",""
"    Estimate","89,798","53,053","4,770","1,546","3,020","141","250","2,855"
"    Margin of Error","*****","±149","±276","±231","±230","±78","±191","±450"
"    Percent","57.8%","34.1%","3.1%","1.0%","1.9%","0.1%","0.2%","1.8%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.3"
"Marin County, California","","","","","","","",""
"    Estimate","41,527","184,960","5,527","438","15,110","249","2,345","9,787"
"    Margin of Error","*****","±534","±498","±125","±454","±122","±613","±736"
"    Percent","16.0%","71.2%","2.1%","0.2%","5.8%","0.1%","0.9%","3.8%"
"    Percent Margin of Error","*****","±0.2","±0.2","±0.1","±0.2","±0.1","±0.2","±0.3"
"Mariposa County, California","","","","","","","",""
"    Estimate","1,963","13,935","253","325","210","53","12","669"
"    Margin of Error","*****","±56","±51","±124","±91","±56","±21","±169"
"    Percent","11.3%","80.0%","1.5%","1.9%","1.2%","0.3%","0.1%","3.8%"
"    Percent Margin of Error","*****","±0.3","±0.3","±0.7","±0.5","±0.3","±0.1","±1.0"
"Mendocino County, California","","","","","","","",""
"    Estimate","21,898","56,857","626","2,938","1,773","165","51","2,916"
"    Margin of Error","*****","±45","±108","±305","±112","±45","±42","±339"
"    Percent","25.1%","65.2%","0.7%","3.4%","2.0%","0.2%","0.1%","3.3%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.3","±0.1","±0.1","±0.1","±0.4"
"Merced County, California","","","","","","","",""
"    Estimate","161,814","75,037","7,812","931","19,650","607","226","5,305"
"    Margin of Error","*****","±140","±432","±203","±528","±183","±127","±748"
"    Percent","59.6%","27.6%","2.9%","0.3%","7.2%","0.2%","0.1%","2.0%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.2","±0.1","±0.1","±0.3"
"Modoc County, California","","","","","","","",""
"    Estimate","1,291","6,920","136","372","99","9","3","77"
"    Margin of Error","*****","±6","±26","±123","±119","±8","±6","±42"
"    Percent","14.5%","77.7%","1.5%","4.2%","1.1%","0.1%","0.0%","0.9%"
"    Percent Margin of Error","*****","±0.1","±0.3","±1.4","±1.3","±0.1","±0.1","±0.5"
"Mono County, California","","","","","","","",""
"    Estimate","3,865","9,308","59","242","363","0","96","377"
"    Margin of Error","*****","±148","±70","±70","±257","±19","±148","±265"
"    Percent","27.0%","65.0%","0.4%","1.7%","2.5%","0.0%","0.7%","2.6%"
"    Percent Margin of Error","*****","±1.0","±0.5","±0.5","±1.8","±0.2","±1.0","±1.8"
"Monterey County, California","","","","","","","",""
"    Estimate","254,294","129,738","10,737","819","23,348","1,982","561","11,931"
"    Margin of Error","*****","±208","±335","±216","±591","±116","±224","±740"
"    Percent","58.7%","29.9%","2.5%","0.2%","5.4%","0.5%","0.1%","2.8%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Napa County, California","","","","","","","",""
"    Estimate","47,544","73,210","2,780","407","11,196","284","526","3,676"
"    Margin of Error","*****","±212","±153","±172","±338","±91","±210","±453"
"    Percent","34.1%","52.4%","2.0%","0.3%","8.0%","0.2%","0.4%","2.6%"
"    Percent Margin of Error","*****","±0.2","±0.1","±0.1","±0.2","±0.1","±0.2","±0.3"
"Nevada County, California","","","","","","","",""
"    Estimate","9,373","84,513","478","413","1,043","124","98","3,202"
"    Margin of Error","*****","±107","±151","±220","±225","±44","±100","±339"
"    Percent","9.4%","85.2%","0.5%","0.4%","1.1%","0.1%","0.1%","3.2%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.3"
"Orange County, California","","","","","","","",""
"    Estimate","1,078,726","1,285,855","51,269","6,116","642,948","8,928","6,032","88,170"
"    Margin of Error","*****","±1,000","±1,081","±647","±2,403","±499","±955","±2,788"
"    Percent","34.1%","40.6%","1.6%","0.2%","20.3%","0.3%","0.2%","2.8%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"Placer County, California","","","","","","","",""
"    Estimate","53,969","280,105","6,361","1,373","28,573","566","391","14,174"
"    Margin of Error","*****","±169","±440","±213","±685","±132","±172","±890"
"    Percent","14.0%","72.7%","1.7%","0.4%","7.4%","0.1%","0.1%","3.7%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"Plumas County, California","","","","","","","",""
"    Estimate","1,670","15,514","141","268","212","86","94","675"
"    Margin of Error","*****","±145","±142","±140","±72","±83","±145","±228"
"    Percent","8.9%","83.1%","0.8%","1.4%","1.1%","0.5%","0.5%","3.6%"
"    Percent Margin of Error","*****","±0.8","±0.8","±0.8","±0.4","±0.4","±0.8","±1.2"
"Riverside County, California","","","","","","","",""
"    Estimate","1,179,478","851,702","147,160","10,362","152,347","6,471","5,936","57,983"
"    Margin of Error","*****","±892","±1,619","±834","±1,503","±537","±979","±2,486"
"    Percent","48.9%","35.3%","6.1%","0.4%","6.3%","0.3%","0.2%","2.4%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"Sacramento County, California","","","","","","","",""
"    Estimate","353,318","681,829","144,695","5,554","235,434","17,026","5,074","81,623"
"    Margin of Error","*****","±1,010","±1,853","±490","±2,024","±513","±1,216","±2,609"
"    Percent","23.2%","44.7%","9.5%","0.4%","15.4%","1.1%","0.3%","5.4%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"San Benito County, California","","","","","","","",""
"    Estimate","36,081","20,703","454","186","1,754","36","101","1,061"
"    Margin of Error","*****","±52","±80","±113","±172","±23","±75","±211"
"    Percent","59.8%","34.3%","0.8%","0.3%","2.9%","0.1%","0.2%","1.8%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.2","±0.3","±0.1","±0.1","±0.3"
"San Bernardino County, California","","","","","","","",""
"    Estimate","1,145,874","613,066","169,340","7,783","150,165","6,160","3,624","53,019"
"    Margin of Error","*****","±544","±1,904","±661","±1,552","±530","±716","±2,826"
"    Percent","53.3%","28.5%","7.9%","0.4%","7.0%","0.3%","0.2%","2.5%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"San Diego County, California","","","","","","","",""
"    Estimate","1,117,517","1,510,756","156,084","12,474","385,657","12,747","6,560","114,278"
"    Margin of Error","*****","±943","±2,085","±896","±2,443","±726","±1,069","±3,148"
"    Percent","33.7%","45.6%","4.7%","0.4%","11.6%","0.4%","0.2%","3.4%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"San Francisco County, California","","","","","","","",""
"    Estimate","133,314","354,423","43,782","1,634","298,108","2,934","3,626","37,140"
"    Margin of Error","*****","±401","±858","±371","±1,567","±364","±729","±1,936"
"    Percent","15.2%","40.5%","5.0%","0.2%","34.1%","0.3%","0.4%","4.2%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"San Joaquin County, California","","","","","","","",""
"    Estimate","307,463","236,509","50,030","1,697","112,885","4,055","956","29,008"
"    Margin of Error","*****","±252","±1,071","±351","±1,113","±357","±288","±1,562"
"    Percent","41.4%","31.8%","6.7%","0.2%","15.2%","0.5%","0.1%","3.9%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"San Luis Obispo County, California","","","","","","","",""
"    Estimate","63,534","194,375","4,909","1,510","9,969","265","400","7,203"
"    Margin of Error","*****","±177","±420","±246","±426","±109","±173","±703"
"    Percent","22.5%","68.9%","1.7%","0.5%","3.5%","0.1%","0.1%","2.6%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"San Mateo County, California","","","","","","","",""
"    Estimate","187,248","301,123","16,718","1,158","217,287","10,092","3,012","30,785"
"    Margin of Error","*****","±494","±574","±254","±1,349","±436","±564","±1,620"
"    Percent","24.4%","39.2%","2.2%","0.2%","28.3%","1.3%","0.4%","4.0%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"Santa Barbara County, California","","","","","","","",""
"    Estimate","201,837","197,993","8,409","1,601","23,882","387","603","10,117"
"    Margin of Error","*****","±222","±418","±309","±548","±127","±214","±789"
"    Percent","45.4%","44.5%","1.9%","0.4%","5.4%","0.1%","0.1%","2.3%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Santa Clara County, California","","","","","","","",""
"    Estimate","490,978","607,903","45,259","3,366","699,290","6,229","5,505","68,940"
"    Margin of Error","*****","±840","±925","±402","±2,061","±499","±922","±2,148"
"    Percent","25.5%","31.5%","2.3%","0.2%","36.3%","0.3%","0.3%","3.6%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"Santa Cruz County, California","","","","","","","",""
"    Estimate","91,980","156,897","2,491","401","12,504","198","601","8,890"
"    Margin of Error","*****","±200","±266","±153","±441","±94","±203","±532"
"    Percent","33.6%","57.3%","0.9%","0.1%","4.6%","0.1%","0.2%","3.2%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"Shasta County, California","","","","","","","",""
"    Estimate","17,975","143,013","2,030","3,912","5,745","244","178","6,115"
"    Margin of Error","*****","±166","±227","±455","±357","±119","±108","±645"
"    Percent","10.0%","79.8%","1.1%","2.2%","3.2%","0.1%","0.1%","3.4%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.3","±0.2","±0.1","±0.1","±0.4"
"Sierra County, California","","","","","","","",""
"    Estimate","324","2,662","2","29","0","0","0","23"
"    Margin of Error","±65","±119","±5","±33","±12","±12","±12","±21"
"    Percent","10.7%","87.6%","0.1%","1.0%","0.0%","0.0%","0.0%","0.8%"
"    Percent Margin of Error","±1.8","±2.3","±0.1","±1.1","±1.1","±1.1","±1.1","±0.7"
"Siskiyou County, California","","","","","","","",""
"    Estimate","5,467","33,081","684","1,389","696","124","51","1,976"
"    Margin of Error","*****","±43","±99","±176","±104","±55","±50","±233"
"    Percent","12.6%","76.1%","1.6%","3.2%","1.6%","0.3%","0.1%","4.5%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.4","±0.2","±0.1","±0.1","±0.5"
"Solano County, California","","","","","","","",""
"    Estimate","116,869","168,060","59,652","1,254","66,247","3,911","1,635","24,201"
"    Margin of Error","*****","±432","±986","±259","±961","±239","±577","±1,485"
"    Percent","26.5%","38.0%","13.5%","0.3%","15.0%","0.9%","0.4%","5.5%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.2","±0.1","±0.1","±0.3"
"Sonoma County, California","","","","","","","",""
"    Estimate","133,569","316,022","7,399","2,343","20,082","1,483","2,239","16,635"
"    Margin of Error","*****","±642","±519","±400","±706","±259","±650","±889"
"    Percent","26.7%","63.2%","1.5%","0.5%","4.0%","0.3%","0.4%","3.3%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Stanislaus County, California","","","","","","","",""
"    Estimate","251,259","227,369","15,311","2,481","29,284","3,625","747","13,118"
"    Margin of Error","*****","±248","±489","±440","±860","±307","±308","±1,147"
"    Percent","46.3%","41.9%","2.8%","0.5%","5.4%","0.7%","0.1%","2.4%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"Sutter County, California","","","","","","","",""
"    Estimate","29,748","44,412","1,684","625","14,914","376","148","4,202"
"    Margin of Error","*****","±19","±189","±141","±541","±27","±138","±577"
"    Percent","31.0%","46.2%","1.8%","0.7%","15.5%","0.4%","0.2%","4.4%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.6","±0.1","±0.1","±0.6"
"Tehama County, California","","","","","","","",""
"    Estimate","15,958","43,679","472","890","967","15","11","1,920"
"    Margin of Error","*****","±15","±40","±261","±130","±21","±17","±288"
"    Percent","25.0%","68.3%","0.7%","1.4%","1.5%","0.0%","0.0%","3.0%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.4","±0.2","±0.1","±0.1","±0.5"
"Trinity County, California","","","","","","","",""
"    Estimate","927","10,427","127","698","210","28","51","232"
"    Margin of Error","*****","±32","±102","±172","±22","±36","±33","±110"
"    Percent","7.3%","82.1%","1.0%","5.5%","1.7%","0.2%","0.4%","1.8%"
"    Percent Margin of Error","*****","±0.2","±0.8","±1.4","±0.2","±0.3","±0.3","±0.9"
"Tulare County, California","","","","","","","",""
"    Estimate","298,245","131,716","5,785","2,784","14,949","624","1,002","6,793"
"    Margin of Error","*****","±669","±375","±347","±635","±85","±684","±819"
"    Percent","64.6%","28.5%","1.3%","0.6%","3.2%","0.1%","0.2%","1.5%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Tuolumne County, California","","","","","","","",""
"    Estimate","6,617","43,341","948","763","732","123","42","1,479"
"    Margin of Error","*****","±47","±106","±195","±104","±33","±42","±268"
"    Percent","12.2%","80.2%","1.8%","1.4%","1.4%","0.2%","0.1%","2.7%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.4","±0.2","±0.1","±0.1","±0.5"
"Ventura County, California","","","","","","","",""
"    Estimate","361,601","384,818","14,297","2,017","60,710","1,421","1,138","21,261"
"    Margin of Error","*****","±308","±500","±337","±992","±217","±328","±1,189"
"    Percent","42.7%","45.4%","1.7%","0.2%","7.2%","0.2%","0.1%","2.5%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"Yolo County, California","","","","","","","",""
"    Estimate","68,704","101,452","5,279","663","30,155","883","362","9,854"
"    Margin of Error","*****","±164","±442","±225","±818","±183","±176","±1,030"
"    Percent","31.6%","46.7%","2.4%","0.3%","13.9%","0.4%","0.2%","4.5%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.4","±0.1","±0.1","±0.5"
"Yuba County, California","","","","","","","",""
"    Estimate","21,563","42,145","2,554","594","5,075","296","136","3,997"
"    Margin of Error","*****","±52","±320","±182","±301","±37","±125","±501"
"    Percent","28.2%","55.2%","3.3%","0.8%","6.6%","0.4%","0.2%","5.2%"
"    Percent Margin of Error","*****","±0.1","±0.4","±0.2","±0.4","±0.1","±0.2","±0.7"
"California","","","","","","","",""
"    Estimate","15,327,688","14,605,312","2,169,155","140,831","5,610,931","140,788","100,119","1,188,673"
"    Margin of Error","*****","±3,168","±6,936","±2,516","±9,199","±2,224","±3,715","±14,463"
"    Percent","39.0%","37.2%","5.5%","0.4%","14.3%","0.4%","0.3%","3.0%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"